 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:17:37||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:88  
 ERROR [17:18:38||2021.09.03] Error 1146: Table 'fastcat_db.menu' doesn't exist  menu_parser.go:64  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:22:52||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:23:52||2021.09.03] Error 1146: Table 'fastcat_db.menu' doesn't exist  menu_parser.go:65  
 ERROR [17:24:32||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:24:32||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:24:32||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:89  
 ERROR [17:25:10||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:90  
 ERROR [17:25:10||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:90  
 ERROR [17:25:10||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:90  
 ERROR [17:26:10||2021.09.03] Error 1146: Table 'fastcat_db.menu' doesn't exist  menu_parser.go:66  
 ERROR [17:26:19||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:90  
 ERROR [17:26:19||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:90  
 ERROR [17:26:19||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:90  
 ERROR [17:26:40||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:90  
 ERROR [17:26:40||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:90  
 ERROR [17:26:40||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:90  
 ERROR [17:31:54||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:93  
 ERROR [17:31:54||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:93  
 ERROR [17:31:54||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:93  
 ERROR [17:32:54||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:93  
 ERROR [17:32:54||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:93  
 ERROR [17:32:54||2021.09.03] Error 1452: Cannot add or update a child row: a foreign key constraint fails (`fastcat_db`.`menu`, CONSTRAINT `menu_ibfk_1` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`))  menu_parser.go:93  
 ERROR [17:36:40||2021.09.03] Error 1146: Table 'fastcat_db.menu' doesn't exist  menu_parser.go:67  
